resp.id;rating;expert opinions;intelligence data;polling data;betting odds;developer
1;3;50;5;50;50;state university
1;6;500;50;500;500;private company
1;6;150;5;150;150;state university
1;4;500;15;500;500;private company
1;7;500;50;500;500;foreign ministry
1;7;500;15;500;500;state university
1;7;500;50;150;150;foreign ministry
1;5;500;5;150;150;state university
1;6;500;15;150;150;private company
1;6;50;15;150;150;state university
1;7;150;50;150;500;foreign ministry
1;7;150;15;500;150;state university
1;3;50;5;50;50;private company
1;5;50;5;50;50;foreign ministry
1;6;150;15;500;500;state university
1;5;500;5;50;150;foreign ministry
1;6;150;15;150;500;foreign ministry
1;5;150;15;150;50;state university
1;5;500;50;50;50;foreign ministry
1;4;500;50;500;50;private company
1;5;500;5;150;150;state university
1;5;500;50;150;150;foreign ministry
1;5;150;50;150;50;state university
1;7;500;50;500;500;state university
1;5;150;50;50;500;foreign ministry
1;5;500;5;500;50;state university
1;3;150;50;500;150;private company
1;4;50;5;150;150;foreign ministry
1;5;150;50;150;500;state university
1;4;500;15;150;500;state university
1;3;50;5;150;50;state university
1;3;50;5;150;50;foreign ministry
2;4;50;5;50;50;state university
2;6;500;50;500;500;private company
2;4;150;5;150;150;state university
2;6;500;15;500;500;private company
2;6;500;50;500;500;foreign ministry
2;5;500;15;500;500;state university
2;6;500;50;150;150;foreign ministry
2;5;500;5;150;150;state university
2;6;500;15;150;150;private company
2;5;50;15;150;150;state university
2;6;150;50;150;500;foreign ministry
2;5;150;15;500;150;state university
2;4;50;5;50;50;private company
2;6;50;5;50;50;foreign ministry
2;6;150;15;500;500;state university
2;6;500;5;50;150;foreign ministry
2;6;150;15;150;500;foreign ministry
2;6;150;15;150;50;state university
2;5;500;50;50;50;foreign ministry
2;6;500;50;500;50;private company
2;5;500;5;150;150;state university
2;6;500;50;150;150;foreign ministry
2;5;150;50;150;50;state university
2;6;500;50;500;500;state university
2;5;150;50;50;500;foreign ministry
2;5;500;5;500;50;state university
2;5;150;50;500;150;private company
2;4;50;5;150;150;foreign ministry
2;6;150;50;150;500;state university
2;6;500;15;150;500;state university
2;5;50;5;150;50;state university
2;5;50;5;150;50;foreign ministry
3;3;50;5;50;50;state university
3;5;500;50;500;500;private company
3;6;150;5;150;150;state university
3;5;500;15;500;500;private company
3;7;500;50;500;500;foreign ministry
3;7;500;15;500;500;state university
3;7;500;50;150;150;foreign ministry
3;6;500;5;150;150;state university
3;4;500;15;150;150;private company
3;6;50;15;150;150;state university
3;6;150;50;150;500;foreign ministry
3;6;150;15;500;150;state university
3;2;50;5;50;50;private company
3;6;50;5;50;50;foreign ministry
3;7;150;15;500;500;state university
3;6;500;5;50;150;foreign ministry
3;7;150;15;150;500;foreign ministry
3;6;150;15;150;50;state university
3;5;500;50;50;50;foreign ministry
3;7;500;50;500;50;private company
3;6;500;5;150;150;state university
3;7;500;50;150;150;foreign ministry
3;6;150;50;150;50;state university
3;7;500;50;500;500;state university
3;6;150;50;50;500;foreign ministry
3;6;500;5;500;50;state university
3;5;150;50;500;150;private company
3;6;50;5;150;150;foreign ministry
3;6;150;50;150;500;state university
3;6;500;15;150;500;state university
3;6;50;5;150;50;state university
3;6;50;5;150;50;foreign ministry
4;5;50;5;50;50;state university
4;2;500;50;500;500;private company
4;4;150;5;150;150;state university
4;2;500;15;500;500;private company
4;5;500;50;500;500;foreign ministry
4;5;500;15;500;500;state university
4;5;500;50;150;150;foreign ministry
4;5;500;5;150;150;state university
4;2;500;15;150;150;private company
4;5;50;15;150;150;state university
4;4;150;50;150;500;foreign ministry
4;5;150;15;500;150;state university
4;2;50;5;50;50;private company
4;4;50;5;50;50;foreign ministry
4;5;150;15;500;500;state university
4;5;500;5;50;150;foreign ministry
4;4;150;15;150;500;foreign ministry
